,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
31,15,Anthony Mason,34,MIA,0.0,1.0,1240,0.001,80,40.7,16.1,9.6,3.1,1.0,0.3,0.482,0.0,0.781,11.6,0.171,0.3955773955773956,0.23587223587223585,0.07616707616707616,0.02457002457002457,0.00737100737100737,0.7395577395577395,2001
32,15,John Stockton,38,UTA,0.0,1.0,1240,0.001,82,29.2,11.5,2.8,8.7,1.6,0.3,0.504,0.462,0.817,10.8,0.216,0.3938356164383562,0.0958904109589041,0.297945205479452,0.05479452054794521,0.010273972602739725,0.8527397260273973,2001
33,1,Tim Duncan,25,SAS,57.0,954.0,1260,0.757,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257,0.6280788177339901,0.31280788177339897,0.09113300492610837,0.017241379310344827,0.06157635467980296,1.110837438423645,2002
34,2,Jason Kidd,28,NJN,45.0,897.0,1260,0.712,82,37.3,14.7,7.3,9.9,2.1,0.2,0.391,0.321,0.814,8.9,0.14,0.3941018766756032,0.1957104557640751,0.26541554959785524,0.056300268096514755,0.005361930294906167,0.9168900804289544,2002
35,3,Shaquille O'Neal,29,LAL,15.0,696.0,1260,0.552,67,36.1,27.2,10.7,3.0,0.6,2.0,0.579,0.0,0.555,13.2,0.262,0.7534626038781163,0.29639889196675895,0.08310249307479224,0.016620498614958446,0.055401662049861494,1.2049861495844876,2002
36,4,Tracy McGrady,22,ORL,7.0,390.0,1260,0.31,76,38.3,25.6,7.9,5.3,1.6,1.0,0.451,0.364,0.748,11.5,0.189,0.668407310704961,0.20626631853785904,0.13838120104438642,0.04177545691906006,0.026109660574412535,1.080939947780679,2002
37,5,Kobe Bryant,23,LAL,1.0,98.0,1260,0.078,80,38.3,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.829,12.7,0.199,0.6579634464751959,0.14360313315926895,0.14360313315926895,0.0391644908616188,0.010443864229765015,0.9947780678851177,2002
38,6,Gary Payton,33,SEA,1.0,54.0,1260,0.043,82,40.3,22.1,4.8,9.0,1.6,0.3,0.467,0.314,0.797,12.6,0.183,0.5483870967741936,0.11910669975186104,0.22332506203473948,0.039702233250620354,0.007444168734491315,0.9379652605459058,2002
39,7,Chris Webber,28,SAC,0.0,37.0,1260,0.029,54,38.4,24.5,10.1,4.8,1.7,1.4,0.495,0.263,0.749,8.6,0.2,0.6380208333333334,0.2630208333333333,0.125,0.044270833333333336,0.036458333333333336,1.1067708333333333,2002
40,8,Dirk Nowitzki,23,DAL,0.0,31.0,1260,0.025,76,38.0,23.4,9.9,2.4,1.1,1.0,0.477,0.397,0.853,13.4,0.222,0.6157894736842104,0.2605263157894737,0.06315789473684211,0.028947368421052635,0.02631578947368421,0.994736842105263,2002
